Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
115,3,5,15,2,8064.03,3704,1250,15929,54350,594,60885,44377.85,9972.15,0,0,0,0,19426.43,41458.57
116,1,2,3,2,7364.81,6496,388,10453,35666,1148,117670,28482.71,4724.78,2458.51,0,0,18089.14,25940.62,73640.24
117,1,2,3,3,2393.02,4799,894,5402,18432,1151,117978,9364.14,2102.69,802.26,6162.9,0,20060.58,0,97917.42
118,2,4,10,2,4751.97,6997,512,12410,42343,1165,119413,20926.52,4183.07,1328.12,10325.17,5580.12,0,0,119413
119,3,7,21,4,6442.28,2197,2624,5852,19967,0,0,4259.69,1878.91,5255.79,4018.69,4553.93,0,0,0
120,1,1,1,4,7017.63,5552,685,5785,19738,392,40180,9309.36,1845.53,409.36,8173.75,0,0,0,40180
121,3,6,19,2,10042.74,3519,1458,17144,58495,0,0,20504.96,7894.56,3751.52,8697.53,17646.44,0,0,0
122,1,2,3,4,9560.85,6403,511,6548,22342,2287,234418,17999.19,4342.81,0,0,0,0,74063.15,160354.85
123,1,1,2,5,4311.35,5507,630,5983,20414,987,101168,8464.54,2441.29,0,9508.17,0,29321.27,0,71846.23
124,4,10,26,4,9355.45,3566,896,7767,26501,256,26240,15427.17,2054.71,637.13,0,8382,0,26240,0
125,3,5,16,4,13918.65,2429,2063,13644,46553,0,0,19848.23,2478.05,6722.63,11400.52,6103.56,0,0,0
126,2,4,10,5,6014.3,6772,670,4693,16013,0,0,3845.16,1565.42,170.71,3602.51,6829.2,0,0,0
127,1,1,2,5,4310.36,6008,575,4010,13682,767,78618,10728.51,2953.49,0,0,0,0,13421.52,65196.48
128,4,8,22,5,7188.89,5284,751,1781,6077,163,16708,4552.36,1249.91,274.26,0,0,0,5186.85,11521.17
129,4,10,27,2,8236.3,6141,716,35091,119730,0,0,59548.47,10228.32,0,26741.69,23211.52,0,0,0
130,4,10,26,2,6256.73,3026,597,3149,10744,407,41718,5404.21,1363.23,0,0,3976.56,9328.8,32389.2,0
131,3,6,19,2,8284.87,3873,1243,18212,62139,525,53813,27850.13,8287.26,13266.46,9283.41,3451.74,0,0,53813
132,1,1,2,5,6038.37,6045,601,4501,15357,603,61808,11044.07,2225.48,2087.45,0,0,0,17925.24,43882.76
133,3,5,17,2,6297.04,1024,2621,10114,34509,0,0,13852.34,2004.42,10345.8,4650.55,3655.9,0,0,0
134,4,10,26,5,7727.97,789,1950,8936,30490,86,8815,13914.44,3766.78,6939.82,0,5868.96,0,8815,0
135,4,10,26,2,7131.08,2610,214,8604,29357,0,0,17714.76,3899.86,0,5668.78,2073.61,0,0,0
136,3,7,21,2,8955.85,494,4281,23981,81823,0,0,29878.45,5713.44,32992.39,7832.93,5405.79,0,0,0
137,3,5,15,2,8064.03,3679,1293,7038,24014,335,34338,17659.65,2750.2,0,0,3604.15,0,12685.23,21652.77
138,3,7,21,3,6737.65,1849,2911,8537,29128,0,0,8452.01,2315.61,13314.63,2562.03,2483.72,0,0,0
139,4,8,22,1,12873.31,5413,775,3658,12481,805,82513,9625.68,2855.32,0,0,0,2129.15,25294.94,55088.91
140,3,5,17,1,10147.7,1334,2817,24166,82454,0,0,52962.51,4430.12,0,15938.74,9122.63,0,0,0
141,2,3,6,2,15560.51,4465,1269,24698,84270,0,0,47583.66,6093.79,0,17734.9,12857.65,0,0,0
